CUSTOMER_KEY,CUSTOMER_NAME,NATION_NAME,REGION_NAME,TOTAL_NET_REVENUE
134366869,Customer#134366869,FRANCE,EUROPE,1642610.80
67298384,Customer#067298384,INDIA,ASIA,1573950.47
90376633,Customer#090376633,BRAZIL,AMERICA,1571530.84
96688783,Customer#096688783,GERMANY,EUROPE,1561057.80
6098393,Customer#006098393,SAUDI ARABIA,MIDDLE EAST,1548753.69
27472118,Customer#027472118,IRAQ,MIDDLE EAST,1548719.91
43901947,Customer#043901947,ROMANIA,EUROPE,1546203.14
97853435,Customer#097853435,IRAQ,MIDDLE EAST,1532010.52
124232146,Customer#124232146,INDONESIA,ASIA,1527102.50
60401551,Customer#060401551,SAUDI ARABIA,MIDDLE EAST,1523669.59
