MANUFACTURER,BRAND,TOTAL_NET_REVENUE,TOTAL_UNITS_SOLD
Manufacturer#4,Brand#43,8724925376351.14,6123817593.00
Manufacturer#4,Brand#45,8723125435369.85,6123172212.00
Manufacturer#3,Brand#35,8721533905839.42,6121703934.00
Manufacturer#5,Brand#54,8720694118386.78,6121427741.00
Manufacturer#5,Brand#52,8720140411103.48,6121511536.00
Manufacturer#3,Brand#34,8720040375226.43,6121018361.00
Manufacturer#1,Brand#15,8719556755751.08,6121395382.00
Manufacturer#5,Brand#55,8719261474153.37,6120854875.00
Manufacturer#2,Brand#21,8718741171740.04,6120590383.00
Manufacturer#5,Brand#51,8718468293359.55,6120533462.00
Manufacturer#5,Brand#53,8718413547283.41,6120182034.00
Manufacturer#3,Brand#32,8718368469819.67,6120417425.00
Manufacturer#3,Brand#31,8718230007548.60,6119864151.00
Manufacturer#1,Brand#12,8718073694132.11,6120542922.00
Manufacturer#4,Brand#44,8717946987602.47,6119643365.00
Manufacturer#3,Brand#33,8717851777300.43,6119947864.00
Manufacturer#1,Brand#14,8717709505744.72,6119131898.00
Manufacturer#2,Brand#24,8717339017012.11,6119395035.00
Manufacturer#1,Brand#13,8716413553113.70,6119053982.00
Manufacturer#2,Brand#22,8715911407751.32,6119431942.00
Manufacturer#2,Brand#25,8715801740697.59,6119153803.00
Manufacturer#2,Brand#23,8715764474098.77,6118581543.00
Manufacturer#4,Brand#41,8715299780744.09,6118152898.00
Manufacturer#4,Brand#42,8712826924353.54,6116476867.00
Manufacturer#1,Brand#11,8708901195073.85,6113505725.00
